Tag	Name	Keyword	VR	VM	Unnamed: 5	Attribute Name	Retd. (from PS3.6 )	In Std. Comp. IOD (from PS3.3 )	Basic Prof.	Anonymisation	XNAT Code
(0008,1140)	Referenced Image Sequence	Referenced​Image​Sequence	SQ	1		Referenced Image Sequence	N	Y	X/Z/U*	TBD	TBD //Referenced Image Sequence
(0008,1155)	Referenced SOP Instance UID	Referenced​SOP​Instance​UID	UI	1		Referenced SOP Instance UID	N	Y	U	(0008,1155) ?= hashUID[(0008,1155)]	(0008,1155) ?= hashUID[(0008,1155)] //Referenced SOP Instance UID
(0008,1195)	Transaction UID	Transaction​UID	UI	1		Transaction UID	N	N	U	(0008,1195) ?= hashUID[(0008,1195)]	(0008,1195) ?= hashUID[(0008,1195)] //Transaction UID
(0008,2111)	Derivation Description	Derivation​Description	ST	1		Derivation Description	N	Y	X	-(0008,2111)	-(0008,2111) //Derivation Description
(0008,2112)	Source Image Sequence	Source​Image​Sequence	SQ	1		Source Image Sequence	N	Y	X/Z/U*	TBD	TBD //Source Image Sequence
(0008,3010)	Irradiation Event UID	Irradiation​Event​UID	UI	1-n		Irradiation Event UID	N	Y	U	(0008,3010) ?= hashUID[(0008,3010)]	(0008,3010) ?= hashUID[(0008,3010)] //Irradiation Event UID
(0008,4000)	Identifying Comments	Identifying​Comments	LT	1	RET	Identifying Comments	Y	N	X	-(0008,4000)	-(0008,4000) //Identifying Comments
(0010,0010)	Patient's Name	Patient​Name	PN	1		Patient's Name	N	Y	Z	(0010,0010) ?= "ANON"	(0010,0010) ?= "ANON" //Patient's Name
(0010,0020)	Patient ID	Patient​ID	LO	1		Patient ID	N	Y	Z/D	(0010,0020) ?= "ANON"	(0010,0020) ?= "ANON" //Patient ID
(0010,0021)	Issuer of Patient ID	Issuer​Of​Patient​ID	LO	1		Issuer of Patient ID	N	Y	X	-(0010,0021)	-(0010,0021) //Issuer of Patient ID
(0010,0030)	Patient's Birth Date	Patient​Birth​Date	DA	1		Patient's Birth Date	N	Y	Z	(0010,0030) ?= "00000000"	(0010,0030) ?= "00000000" //Patient's Birth Date
(0010,0032)	Patient's Birth Time	Patient​Birth​Time	TM	1		Patient's Birth Time	N	Y	X	-(0010,0032)	-(0010,0032) //Patient's Birth Time
(0010,0040)	Patient's Sex	Patient​Sex	CS	1		Patient's Sex	N	Y	Z	(0010,0040) ?= "ANON"	(0010,0040) ?= "ANON" //Patient's Sex
(0010,0050)	Patient's Insurance Plan Code Sequence	Patient​Insurance​Plan​Code​Sequence	SQ	1		Patient's Insurance Plan Code Sequence	N	Y	X	-(0010,0050)	-(0010,0050) //Patient's Insurance Plan Code Sequence
(0010,0101)	Patient's Primary Language Code Sequence	Patient​Primary​Language​Code​Sequence	SQ	1		Patient's Primary Language Code Sequence	N	Y	X	-(0010,0101)	-(0010,0101) //Patient's Primary Language Code Sequence
(0010,0102)	Patient's Primary Language Modifier Code Sequence	Patient​Primary​Language​Modifier​Code​Sequence	SQ	1		Patient's Primary Language Modifier Code Sequence	N	Y	X	-(0010,0102)	-(0010,0102) //Patient's Primary Language Modifier Code Sequence
(0010,1000)	Other Patient IDs	Other​Patient​IDs	LO	1-n	RET (2017a)	Other Patient IDs	Y	Y	X	-(0010,1000)	-(0010,1000) //Other Patient IDs
(0010,1001)	Other Patient Names	Other​Patient​Names	PN	1-n		Other Patient Names	N	Y	X	-(0010,1001)	-(0010,1001) //Other Patient Names
(0010,1002)	Other Patient IDs Sequence	Other​Patient​IDs​Sequence	SQ	1		Other Patient IDs Sequence	N	Y	X	-(0010,1002)	-(0010,1002) //Other Patient IDs Sequence
(0010,1005)	Patient's Birth Name	Patient​Birth​Name	PN	1		Patient's Birth Name	N	N	X	-(0010,1005)	-(0010,1005) //Patient's Birth Name
(0010,1010)	Patient's Age	Patient​Age	AS	1		Patient's Age	N	Y	X	-(0010,1010)	-(0010,1010) //Patient's Age
(0010,1020)	Patient's Size	Patient​Size	DS	1		Patient's Size	N	Y	X	-(0010,1020)	-(0010,1020) //Patient's Size
(0010,1030)	Patient's Weight	Patient​Weight	DS	1		Patient's Weight	N	Y	X	-(0010,1030)	-(0010,1030) //Patient's Weight
(0010,1040)	Patient's Address	Patient​Address	LO	1		Patient's Address	N	N	X	-(0010,1040)	-(0010,1040) //Patient's Address
(0010,1050)	Insurance Plan Identification	Insurance​Plan​Identification	LO	1-n	RET	Insurance Plan Identification	Y	N	X	-(0010,1050)	-(0010,1050) //Insurance Plan Identification
(0010,1060)	Patient's Mother's Birth Name	Patient​Mother​Birth​Name	PN	1		Patient's Mother's Birth Name	N	N	X	-(0010,1060)	-(0010,1060) //Patient's Mother's Birth Name
(0010,1080)	Military Rank	Military​Rank	LO	1		Military Rank	N	N	X	-(0010,1080)	-(0010,1080) //Military Rank
(0010,1081)	Branch of Service	Branch​Of​Service	LO	1		Branch of Service	N	N	X	-(0010,1081)	-(0010,1081) //Branch of Service
(0010,1090)	Medical Record Locator	Medical​Record​Locator	LO	1	RET (2017a)	Medical Record Locator	Y	N	X	-(0010,1090)	-(0010,1090) //Medical Record Locator
(0010,1100)	Referenced Patient Photo Sequence	Referenced​Patient​Photo​Sequence	SQ	1		Referenced Patient Photo Sequence	N	Y	X	-(0010,1100)	-(0010,1100) //Referenced Patient Photo Sequence
(0010,2000)	Medical Alerts	Medical​Alerts	LO	1-n		Medical Alerts	N	N	X	-(0010,2000)	-(0010,2000) //Medical Alerts
(0010,2110)	Allergies	Allergies	LO	1-n		Allergies	N	N	X	-(0010,2110)	-(0010,2110) //Allergies
(0010,2150)	Country of Residence	Country​Of​Residence	LO	1		Country of Residence	N	N	X	-(0010,2150)	-(0010,2150) //Country of Residence
(0010,2152)	Region of Residence	Region​Of​Residence	LO	1		Region of Residence	N	N	X	-(0010,2152)	-(0010,2152) //Region of Residence
(0010,2154)	Patient's Telephone Numbers	Patient​Telephone​Numbers	SH	1-n		Patient's Telephone Numbers	N	N	X	-(0010,2154)	-(0010,2154) //Patient's Telephone Numbers
(0010,2155)	Patient's Telecom Information	Patient​Telecom​Information​	LT	1		Patient's Telecom Information	N	N	X	-(0010,2155)	-(0010,2155) //Patient's Telecom Information
(0010,2160)	Ethnic Group	Ethnic​Group	SH	1		Ethnic Group	N	Y	X	-(0010,2160)	-(0010,2160) //Ethnic Group
(0010,2161)	Ethnic Group Code Sequence	Ethnic​Group​Code​Sequence	SQ	1		>Ethnic Group Code Sequence	N	Y	X	-(0010,2161)	-(0010,2161) //Ethnic Group Code Sequence
(0010,2180)	Occupation	Occupation	SH	1		Occupation	N	Y	X	-(0010,2180)	-(0010,2180) //Occupation
(0010,21A0)	Smoking Status	Smoking​Status	CS	1		Smoking Status	N	N	X	-(0010,21A0)	-(0010,21A0) //Smoking Status
(0010,21B0)	Additional Patient History	Additional​Patient​History	LT	1		Additional Patient History	N	Y	X	-(0010,21B0)	-(0010,21B0) //Additional Patient History
(0010,21C0)	Pregnancy Status	Pregnancy​Status	US	1		Pregnancy Status	N	N	X	-(0010,21C0)	-(0010,21C0) //Pregnancy Status
(0010,21D0)	Last Menstrual Date	Last​Menstrual​Date	DA	1		Last Menstrual Date	N	N	X	-(0010,21D0)	-(0010,21D0) //Last Menstrual Date
(0010,21F0)	Patient's Religious Preference	Patient​Religious​Preference	LO	1		Patient's Religious Preference	N	N	X	-(0010,21F0)	-(0010,21F0) //Patient's Religious Preference
(0010,2203)	Patient's Sex Neutered	Patient​Sex​Neutered	CS	1		Patient's Sex Neutered	N	Y	X/Z	(0010,2203) ?= "ANON"	(0010,2203) ?= "ANON" //Patient's Sex Neutered
(0010,2297)	Responsible Person	Responsible​Person	PN	1		Responsible Person	N	Y	X	-(0010,2297)	-(0010,2297) //Responsible Person
(0010,2299)	Responsible Organization	Responsible​Organization	LO	1		Responsible Organization	N	Y	X	-(0010,2299)	-(0010,2299) //Responsible Organization
(0010,4000)	Patient Comments	Patient​Comments	LT	1		Patient Comments	N	Y	X	-(0010,4000)	-(0010,4000) //Patient Comments
(0012,0010)	Clinical Trial Sponsor Name	Clinical​Trial​Sponsor​Name	LO	1		Clinical Trial Sponsor Name	N	Y	D	(0012,0010) ?= "ANON"	(0012,0010) ?= "ANON" //Clinical Trial Sponsor Name
(0012,0020)	Clinical Trial Protocol ID	Clinical​Trial​Protocol​ID	LO	1		Clinical Trial Protocol ID	N	Y	D	(0012,0020) ?= "ANON"	(0012,0020) ?= "ANON" //Clinical Trial Protocol ID
(0012,0021)	Clinical Trial Protocol Name	Clinical​Trial​Protocol​Name	LO	1		Clinical Trial Protocol Name	N	Y	Z	(0012,0021) ?= "ANON"	(0012,0021) ?= "ANON" //Clinical Trial Protocol Name
(0012,0022)	Issuer of Clinical Trial Protocol ID	Issuer​Of​Clinical​Tria​lProtocol​ID	LO	1		Issuer of Clinical Trial Protocol ID	N	Y	X	-(0012,0022)	-(0012,0022) //Issuer of Clinical Trial Protocol ID
(0012,0023)	Other Clinical Trial Protocol IDs Sequence	Other​Clinical​Trial​Protocol​IDs​Sequence	SQ	1		Other Clinical Trial Protocol IDs Sequence	N	Y	X	-(0012,0023)	-(0012,0023) //Other Clinical Trial Protocol IDs Sequence
(0012,0030)	Clinical Trial Site ID	Clinical​Trial​Site​ID	LO	1		Clinical Trial Site ID	N	Y	Z	(0012,0030) ?= "ANON"	(0012,0030) ?= "ANON" //Clinical Trial Site ID
(0012,0031)	Clinical Trial Site Name	Clinical​Trial​Site​Name	LO	1		Clinical Trial Site Name	N	Y	Z	(0012,0031) ?= "ANON"	(0012,0031) ?= "ANON" //Clinical Trial Site Name
(0012,0032)	Issuer of Clinical Trial Site ID	Issuer​Of​Clinical​Trial​Site​ID	LO	1		Issuer of Clinical Trial Site ID	N	Y	X	-(0012,0032)	-(0012,0032) //Issuer of Clinical Trial Site ID
(0012,0040)	Clinical Trial Subject ID	Clinical​Trial​Subject​ID	LO	1		Clinical Trial Subject ID	N	Y	D	(0012,0040) ?= "ANON"	(0012,0040) ?= "ANON" //Clinical Trial Subject ID
(0012,0041)	Issuer of Clinical Trial Subject ID	Issuer​Of​Clinical​Trial​Subject​ID	LO	1		Issuer of Clinical Trial Subject ID	N	Y	X	-(0012,0041)	-(0012,0041) //Issuer of Clinical Trial Subject ID
(0012,0042)	Clinical Trial Subject Reading ID	Clinical​Trial​Subject​Reading​ID	LO	1		Clinical Trial Subject Reading ID	N	Y	D	(0012,0042) ?= "ANON"	(0012,0042) ?= "ANON" //Clinical Trial Subject Reading ID
(0012,0043)	Issuer of Clinical Trial Subject Reading ID	Issuer​Of​Clinical​Trial​Subject​Reading​ID	LO	1		Issuer of Clinical Trial Subject Reading ID	N	Y	X	-(0012,0043)	-(0012,0043) //Issuer of Clinical Trial Subject Reading ID
(0012,0050)	Clinical Trial Time Point ID	Clinical​Trial​Time​Point​ID	LO	1		Clinical Trial Time Point ID	N	Y	Z	(0012,0050) ?= "ANON"	(0012,0050) ?= "ANON" //Clinical Trial Time Point ID
(0012,0051)	Clinical Trial Time Point Description	Clinical​Trial​Time​Point​Description	ST	1		Clinical Trial Time Point Description	N	Y	X	-(0012,0051)	-(0012,0051) //Clinical Trial Time Point Description
(0012,0055)	Issuer of Clinical Trial Time Point ID	Issuer​Of​Clinical​Trial​Time​Point​ID	LO	1		Issuer of Clinical Trial Time Point ID	N	Y	X	-(0012,0055)	-(0012,0055) //Issuer of Clinical Trial Time Point ID
(0012,0060)	Clinical Trial Coordinating Center Name	Clinical​Trial​Coordinating​Center​Name	LO	1		Clinical Trial Coordinating Center Name	N	Y	Z	(0012,0060) ?= "ANON"	(0012,0060) ?= "ANON" //Clinical Trial Coordinating Center Name
(0012,0071)	Clinical Trial Series ID	Clinical​Trial​Series​ID	LO	1		Clinical Trial Series ID	N	Y	X	-(0012,0071)	-(0012,0071) //Clinical Trial Series ID
(0012,0072)	Clinical Trial Series Description	Clinical​Trial​Series​Description	LO	1		Clinical Trial Series Description	N	Y	X	-(0012,0072)	-(0012,0072) //Clinical Trial Series Description
(0012,0073)	Issuer of Clinical Trial Series ID	Issuer​Of​Clinical​Trial​Series​ID	LO	1		Issuer of Clinical Trial Series ID	N	Y	X	-(0012,0073)	-(0012,0073) //Issuer of Clinical Trial Series ID
(0012,0081)	Clinical Trial Protocol Ethics Committee Name	Clinical​Trial​Protocol​Ethics​Committee​Name	LO	1		Clinical Trial Protocol Ethics Committee Name	N	Y	D	(0012,0081) ?= "ANON"	(0012,0081) ?= "ANON" //Clinical Trial Protocol Ethics Committee Name
(0012,0082)	Clinical Trial Protocol Ethics Committee Approval Number	Clinical​Trial​Protocol​Ethics​Committee​Approval​Number	LO	1		Clinical Trial Protocol Ethics Committee Approval Number	N	Y	X	-(0012,0082)	-(0012,0082) //Clinical Trial Protocol Ethics Committee Approval Number
(0012,0086)	Ethics Committee Approval Effectiveness Start Date	Ethics​Committee​Approval​Effectiveness​Start​Date	DA	1		Ethics Committee Approval Effectiveness Start Date	N	Y	X	-(0012,0086)	-(0012,0086) //Ethics Committee Approval Effectiveness Start Date
(0012,0087)	Ethics Committee Approval Effectiveness End Date	Ethics​Committee​Approval​Effectiveness​End​Date	DA	1		Ethics Committee Approval Effectiveness End Date	N	Y	X	-(0012,0087)	-(0012,0087) //Ethics Committee Approval Effectiveness End Date
(0014,407C)	Calibration Time	Calibration​Time	TM	1-n	DICONDE	Calibration Time	N	N	X	-(0014,407C)	-(0014,407C) //Calibration Time
(0014,407E)	Calibration Date	Calibration​Date	DA	1-n	DICONDE	Calibration Date	N	N	X	-(0014,407E)	-(0014,407E) //Calibration Date
(0016,002B)	Maker Note	Maker​Note	OB	1		Maker Note	N	Y	X	-(0016,002B)	-(0016,002B) //Maker Note
(0016,004B)	Device Setting Description	Device​Setting​Description	OB	1		Device Setting Description	N	Y	X	-(0016,004B)	-(0016,004B) //Device Setting Description
(0016,004D)	Camera Owner Name	Camera​Owner​Name	UT	1		Camera Owner Name	N	Y	X	-(0016,004D)	-(0016,004D) //Camera Owner Name
(0016,004E)	Lens Specification	Lens​Specification	DS	4		Lens Specification	N	Y	X	-(0016,004E)	-(0016,004E) //Lens Specification
(0016,004F)	Lens Make	Lens​Make	UT	1		Lens Make	N	Y	X	-(0016,004F)	-(0016,004F) //Lens Make
(0016,0050)	Lens Model	Lens​Model	UT	1		Lens Model	N	Y	X	-(0016,0050)	-(0016,0050) //Lens Model
(0016,0051)	Lens Serial Number	Lens​Serial​Number	UT	1		Lens Serial Number	N	Y	X	-(0016,0051)	-(0016,0051) //Lens Serial Number
(0016,0070)	GPS Version ID	GPS​Version​ID	OB	1		GPS Version ID	N	Y	X	-(0016,0070)	-(0016,0070) //GPS Version ID
(0016,0071)	GPS Latitude​ Ref	GPS​Latitude​Ref	CS	1		GPS Latitude​ Ref	N	Y	X	-(0016,0071)	-(0016,0071) //GPS Latitude​ Ref
(0016,0072)	GPS Latitude​	GPS​Latitude​	DS	3		GPS Latitude​	N	Y	X	-(0016,0072)	-(0016,0072) //GPS Latitude​
(0016,0073)	GPS Longitude Ref	GPS​Longitude​​Ref	CS	1		GPS Longitude Ref	N	Y	X	-(0016,0073)	-(0016,0073) //GPS Longitude Ref
(0016,0074)	GPS Longitude	GPS​Longitude	DS	3		GPS Longitude	N	Y	X	-(0016,0074)	-(0016,0074) //GPS Longitude
(0016,0075)	GPS Altitude​ Ref	GPS​Altitude​Ref	US	1		GPS Altitude​ Ref	N	Y	X	-(0016,0075)	-(0016,0075) //GPS Altitude​ Ref
(0016,0076)	GPS Altitude​	GPS​Altitude​	DS	1		GPS Altitude​	N	Y	X	-(0016,0076)	-(0016,0076) //GPS Altitude​
(0016,0077)	GPS Time​ Stamp	GPS​Time​Stamp	DT	1		GPS Time​ Stamp	N	Y	X	-(0016,0077)	-(0016,0077) //GPS Time​ Stamp
(0016,0078)	GPS Satellites	GPS​Satellites	UT	1		GPS Satellites	N	Y	X	-(0016,0078)	-(0016,0078) //GPS Satellites
(0016,0079)	GPS Status	GPS​Status	CS	1		GPS Status	N	Y	X	-(0016,0079)	-(0016,0079) //GPS Status
(0016,007A)	GPS Measure ​Mode	GPS​Measure​​Mode	CS	1		GPS Measure ​Mode	N	Y	X	-(0016,007A)	-(0016,007A) //GPS Measure ​Mode
(0016,007B)	GPS DOP	GPS​DOP	DS	1		GPS DOP	N	Y	X	-(0016,007B)	-(0016,007B) //GPS DOP
(0016,007C)	GPS Speed​ Ref	GPS​Speed​Ref	CS	1		GPS Speed​ Ref	N	Y	X	-(0016,007C)	-(0016,007C) //GPS Speed​ Ref
(0016,007D)	GPS Speed​	GPS​Speed​	DS	1		GPS Speed​	N	Y	X	-(0016,007D)	-(0016,007D) //GPS Speed​
(0016,007E)	GPS Track ​Ref	GPS​Track​​Ref	CS	1		GPS Track ​Ref	N	Y	X	-(0016,007E)	-(0016,007E) //GPS Track ​Ref
(0016,007F)	GPS Track	GPS​Track	DS	1		GPS Track	N	Y	X	-(0016,007F)	-(0016,007F) //GPS Track
(0016,0080)	GPS Img​ Direction Ref	GPS​Img​Direction​Ref	CS	1		GPS Img​ Direction Ref	N	Y	X	-(0016,0080)	-(0016,0080) //GPS Img​ Direction Ref
(0016,0081)	GPS Img​ Direction	GPS​Img​Direction	DS	1		GPS Img ​Direction	N	Y	X	-(0016,0081)	-(0016,0081) //GPS Img​ Direction
(0016,0082)	GPS Map​ Datum	GPS​Map​​Datum	UT	1		GPS Map​ Datum	N	Y	X	-(0016,0082)	-(0016,0082) //GPS Map​ Datum
(0016,0083)	GPS Dest ​Latitude Ref	GPS​Dest​Latitude​Ref	CS	1		GPS Dest​ Latitude Ref	N	Y	X	-(0016,0083)	-(0016,0083) //GPS Dest ​Latitude Ref
